LB_Hz,n_samples,cv_mean,cv_std,oob_mean,oob_std
0.3,20,0.87,0.18193405398660253,0.852716810966811,0.13146769470105532
1.0,20,0.915,0.1379311422413372,0.9066008658008657,0.12573339760935864
2.0,20,0.88,0.13453624047073712,0.8398167748917749,0.13308225950957242
3.0,20,0.75,0.17320508075688773,0.7388851370851371,0.14661996336894437
5.0,20,0.875,0.175,0.8010808802308802,0.16096765880293804
8.0,20,0.82,0.18055470085267789,0.7181730519480519,0.17122688504781178
10.0,20,0.595,0.19293781381574737,0.585466502941503,0.1694652238702112
15.0,20,0.915,0.11842719282327012,0.8600413419913421,0.13942093450179732
20.0,20,0.95,0.09999999999999999,0.9169715728715729,0.10829823217282289
