ppm,intensity
15.128352292297429,2731.25
15.12803866983976,3514.25
15.127725047382093,3872.75
15.127411424924425,4773.0
15.127097802466757,5282.25
15.12678418000909,5143.75
15.126470557551421,5517.5
15.126156935093753,5747.5
15.125843312636086,5694.0
15.125529690178418,5518.75
15.12521606772075,4582.25
15.124902445263082,4023.75
15.124588822805414,4546.25
15.124275200347746,4899.0
15.123961577890078,4566.25
15.123647955432409,4430.75
15.123334332974741,3850.25
15.123020710517073,4439.5
15.122707088059405,4692.0
15.122393465601737,4375.0
15.12207984314407,4780.25
15.121766220686402,5350.0
15.121452598228734,6146.0
15.121138975771066,6336.0
15.120825353313398,6317.0
15.12051173085573,5370.75
15.120198108398062,4867.75
15.119884485940394,4843.5
15.119570863482727,4293.5
15.119257241025059,3872.0
15.11894361856739,3524.5
15.118629996109723,3968.25
15.118316373652055,4471.5
15.118002751194387,5242.25
15.11768912873672,5727.75
15.117375506279052,5684.5
15.117061883821384,5659.25
15.116748261363716,5548.5
15.116434638906048,5489.75
15.11612101644838,5071.25
15.115807393990712,4133.0
15.115493771533044,3691.75
15.115180149075377,4002.0
15.114866526617709,4906.0
15.114552904160039,5081.5
15.114239281702371,5308.25
15.113925659244703,5383.5
15.113612036787035,4841.0
15.113298414329368,4730.25
15.1129847918717,4000.0
15.112671169414032,3251.25
15.112357546956364,2980.5
15.112043924498696,2687.25
15.111730302041028,3408.0
15.11141667958336,3764.75
15.111103057125693,3964.75
15.110789434668025,4174.5
15.110475812210357,3915.75
15.110162189752689,3324.0
15.109848567295021,2940.25
15.109534944837353,3482.5
15.109221322379685,4576.25
15.108907699922018,4962.25
15.10859407746435,5232.75
15.108280455006682,5104.75
15.107966832549014,5154.25
15.107653210091346,4348.25
15.107339587633678,3572.0
15.10702596517601,3975.75
15.106712342718343,4307.25
15.106398720260675,3970.75
15.106085097803007,4307.75
15.105771475345339,4951.5
15.10545785288767,4977.0
15.105144230430001,5052.0
15.104830607972334,5673.0
15.104516985514666,6477.25
15.104203363056998,7651.25
15.10388974059933,8084.25
15.103576118141662,7786.25
15.103262495683994,7418.75
15.102948873226326,7169.75
15.102635250768659,7430.5
15.10232162831099,7136.25
15.102008005853323,6899.75
15.101694383395655,7029.0
15.101380760937987,6344.0
15.10106713848032,5004.0
15.100753516022651,4266.5
15.100439893564984,4325.25
15.100126271107316,4925.0
15.099812648649648,4865.25
15.09949902619198,4918.25
15.099185403734312,4938.75
15.098871781276644,4088.25
15.098558158818976,3586.0
15.098244536361308,3771.0
15.09793091390364,3757.25
15.097617291445973,4277.75
15.097303668988305,4711.5
15.096990046530637,4196.75
15.096676424072967,4095.0
15.0963628016153,5021.75
15.096049179157632,5533.25
15.095735556699964,6046.25
15.095421934242296,6560.0
15.095108311784628,6372.5
15.09479468932696,5527.5
15.094481066869292,5096.25
15.094167444411625,5650.75
15.093853821953957,5743.25
15.093540199496289,5180.75
15.093226577038621,4164.25
15.092912954580953,3670.75
15.092599332123285,3372.75
15.092285709665617,4166.0
15.09197208720795,5191.0
15.091658464750282,5760.0
15.091344842292614,5779.0
15.091031219834946,4991.0
15.090717597377278,4954.5
15.09040397491961,5012.75
15.090090352461942,5082.25
15.089776730004274,4871.75
15.089463107546607,4262.5
15.089149485088939,4185.75
15.08883586263127,4088.0
15.088522240173603,3812.5
15.088208617715935,2582.25
15.087894995258267,1813.25
15.087581372800598,2358.5
15.08726775034293,3637.5
15.086954127885262,4282.0
15.086640505427594,3820.5
15.086326882969926,3408.0
15.086013260512258,3190.25
15.08569963805459,3567.25
15.085386015596923,4077.5
15.085072393139255,4607.5
15.084758770681587,4662.25
15.084445148223919,3681.0
15.084131525766251,4313.25
15.083817903308583,5079.0
15.083504280850915,4837.25
15.083190658393248,3927.0
15.08287703593558,2909.25
15.082563413477912,2143.25
15.082249791020244,1961.25
15.081936168562576,3112.25
15.081622546104908,3898.5
15.08130892364724,4431.0
15.080995301189573,4690.25
15.080681678731905,4734.75
15.080368056274237,3813.25
15.080054433816569,3759.25
15.079740811358901,4921.0
15.079427188901233,5657.75
15.079113566443565,4868.25
15.078799943985898,3991.0
15.078486321528228,4149.0
15.07817269907056,4082.5
15.077859076612892,4151.5
15.077545454155224,5149.5
15.077231831697556,5986.25
15.076918209239889,5975.25
15.07660458678222,6094.25
15.076290964324553,6510.5
15.075977341866885,6423.25
15.075663719409217,5910.0
15.07535009695155,4924.75
15.075036474493881,4228.25
15.074722852036214,4951.25
15.074409229578546,5007.25
15.074095607120878,5009.75
15.07378198466321,4815.25
15.073468362205542,5162.25
15.073154739747874,5318.75
