LB_Hz,n_samples,cv_mean,cv_std,oob_mean,oob_std
0.3,20,0.73,0.24413111231467408,0.7236773088023087,0.15159010949364404
1.0,20,0.71,0.17578395831246946,0.687455844155844,0.15083944630134632
2.0,20,0.8,0.18027756377319945,0.7619957070707071,0.15500106075137504
3.0,20,0.845,0.14908051515875576,0.8396614357864358,0.10900364054141348
5.0,20,0.89,0.13379088160259653,0.84856443001443,0.14009553257973312
8.0,20,0.845,0.15724185193516388,0.8255694083694084,0.12832667016662058
10.0,20,0.83,0.1691153452528776,0.7984536075036075,0.14139789235817712
15.0,20,0.745,0.20910523666326483,0.7159410533910534,0.16120044217830198
20.0,20,0.765,0.18309833423600555,0.7029027777777779,0.16831818638914534
